Run,Heuristic,TimeTaken,PathLength,NodesExpanded,PathFound
47,Euclidean,0.0010028,13,23,Yes
47,Chebyshev,0,13,39,Yes
48,Manhattan,0,40,69,Yes
48,Euclidean,0,32,180,Yes
48,Chebyshev,0.0010001,32,340,Yes
49,Manhattan,0,33,63,Yes
49,Euclidean,0.0009964,32,227,Yes
49,Chebyshev,0.0010082,32,361,Yes
50,Manhattan,0.0009993,35,128,Yes
50,Euclidean,0.0010023,34,273,Yes
50,Chebyshev,0.0019997,34,363,Yes
